product_name,series,mae_before,mae_after,mape_before,mape_after,improved
Berries,STORE_027,7.52,7.52,5.56,5.56,False
Berries,STORE_028,17.44,17.44,6.67,6.67,False
Berries,STORE_029,9.21,9.21,5.56,5.56,False
Berries,STORE_030,1.13,1.13,2.22,2.22,False
Berries,STORE_031,6.21,6.21,3.33,3.33,False
Berries,STORE_032,5.94,5.94,4.44,4.44,False
Berries,STORE_033,8.53,8.53,5.56,5.56,False
Berries,STORE_034,11.52,11.52,4.44,4.44,False
Berries,STORE_035,45.81,45.81,4264.81,4264.81,False
Berries,STORE_036,7.52,7.52,3.33,3.33,False
Berries,STORE_037,15.27,15.27,7.78,7.78,False
Berries,STORE_038,14.99,14.99,5.56,5.56,False
Berries,STORE_039,0.0,0.0,0.0,0.0,False
Berries,STORE_040,5.57,5.57,2.22,2.22,False
Berries,STORE_041,9.31,9.31,5.56,5.56,False
Berries,STORE_042,8.84,8.84,4.44,4.44,False
Berries,STORE_043,3.71,3.71,4.44,4.44,False
Berries,STORE_044,63.93,63.93,6013.39,6013.39,False
Berries,STORE_045,76.5,76.5,6717.12,6717.12,False
Berries,STORE_046,10.03,10.03,4.44,4.44,False
Berries,STORE_047,1.44,1.44,1.11,1.11,False
Berries,STORE_048,2.72,2.72,1.11,1.11,False
Berries,STORE_049,10.44,10.44,3.33,3.33,False
Berries,STORE_050,13.33,13.33,3.33,3.33,False
Biologics,Total,258.04,258.04,6796.92,6796.92,False
Biologics,Midwest,51.43,51.43,22.22,22.22,False
Biologics,Northeast,98.52,98.52,38.89,38.89,False
Biologics,Southeast,67.1,67.1,28.89,28.89,False
Biologics,Southwest,37.12,37.12,14.44,14.44,False
Biologics,West,302.56,302.56,23736.52,23736.52,False
Biologics,STORE_001,5.67,5.67,2.22,2.22,False
Biologics,STORE_002,4.57,4.57,2.22,2.22,False
Biologics,STORE_003,5.69,5.69,2.22,2.22,False
Biologics,STORE_004,7.87,7.87,4.44,4.44,False
Biologics,STORE_005,10.76,10.76,5.56,5.56,False
Biologics,STORE_006,5.87,5.87,2.22,2.22,False
Biologics,STORE_007,5.38,5.38,3.33,3.33,False
Biologics,STORE_008,6.06,6.06,4.44,4.44,False
Biologics,STORE_009,9.73,9.73,5.56,5.56,False
Biologics,STORE_010,7.83,7.83,5.56,5.56,False
Biologics,STORE_011,3.52,3.52,1.11,1.11,False
Biologics,STORE_012,2.47,2.47,2.22,2.22,False
